SAMPLE	GROUP	DAY	REPLICATE	COUNT	TOTAL_AREA	AVERAGE_AREA	%AREA
STE129	Patient	6	4	115	187749	1632.6	15.2791
STE129	Patient	6	2	126	138287	1097.5159	11.2538
STE129	Patient	7	1	111	160432	1445.3333	13.056
STE129	Patient	7	2	135	210159	1556.7333	17.1028
STE129	Patient	7	4	114	193170	1694.4737	15.7202
STE129	Patient	7	3	109	191696	1758.6789	15.6003
STE129	Patient	8	2	108	383362	3549.6481	31.1981
STE129	Patient	8	3	106	349909	3301.0283	28.4757
STE129	Patient	8	1	102	276682	2712.5686	22.5164
STE129	Patient	8	4	115	341367	2968.4087	27.7805
STE130	Patient	1	3	148	34898	235.7973	2.84
STE130	Patient	1	2	140	29658	211.8429	2.4136
STE130	Patient	1	4	109	24131	221.3853	1.9638
STE130	Patient	1	1	82	21343	260.2805	1.7369
STE130	Patient	5	4	155	144724	933.7032	11.7777
STE130	Patient	5	2	126	135758	1077.4444	11.048
STE130	Patient	5	3	124	94631	763.1532	7.7011
STE130	Patient	5	1	156	141465	906.8269	11.5125
STE130	Patient	6	2	145	218732	1508.4966	17.8005
STE130	Patient	6	1	149	201858	1354.7517	16.4272
STE130	Patient	6	4	133	186361	1401.2105	15.1661
STE130	Patient	6	3	120	169361	1411.3417	13.7826
STE130	Patient	7	4	126	288339	2288.4048	23.4651
STE130	Patient	7	1	125	292061	2336.488	23.768
STE130	Patient	7	2	121	313235	2588.719	25.4911
STE130	Patient	7	3	96	235190	2449.8958	19.1398
STE130	Patient	8	1	89	418832	4705.9775	34.0846
STE130	Patient	8	2	114	444273	3897.1316	36.155
STE130	Patient	8	4	92	485535	5277.5543	39.5129
STE130	Patient	8	3	92	363288	3948.7826	29.5645
